envio_norm,orden_compra_norm,canal,estado,tipo_despacho,transportista,dias_atraso,diagnostico,region,fecha_trx,fecha_compromiso
000987598,1648150,ECOMMERCE,Rechazado,Retiro en Tienda,Transporte propio,169.0,SAC devolución de dinero,Metropolitana,2025-12-16,2025-12-29
000988600,1648750,ECOMMERCE,Rechazado,Retiro en Tienda,Transporte propio,165.0,SAC devolución de dinero,Metropolitana,2025-12-17,2025-12-30
000990691,1650526,ECOMMERCE,Listo Para Retiro,Retiro en Tienda,Transporte propio,165.0,"En tienda, esperando retiro cliente",Metropolitana,2025-12-22,2026-01-07
000987613,1648159,ECOMMERCE,Listo Para Retiro,Retiro en Tienda,Transporte propio,158.0,"En tienda, esperando retiro cliente",Metropolitana,2025-12-16,2026-01-08
000990697,1650376,ECOMMERCE,Rechazado,Retiro en Tienda,Transporte propio,158.0,SAC devolución de dinero,Valparaíso,2025-12-21,2026-01-01
000991006,1650937,ECOMMERCE,Listo Para Retiro,Retiro en Tienda,Transporte propio,157.0,"En tienda, esperando retiro cliente",Libertador General Bernardo OHiggins,2025-12-22,2026-01-09
000992632,1653022,ECOMMERCE,Rechazado,Retiro en Tienda,Transporte propio,157.0,SAC devolución de dinero,Metropolitana,2025-12-28,2026-01-09
000998042,1659935,ECOMMERCE,Listo Para Retiro,Retiro en Tienda,Transporte propio,147.0,"En tienda, esperando retiro cliente",Metropolitana,2026-01-12,2026-01-23
001003244,1666706,ECOMMERCE,Rechazado,Retiro en Tienda,Transporte propio,143.0,SAC devolución de dinero,Metropolitana,2026-01-22,2026-01-27
001004570,1668428,ECOMMERCE,Rechazado,Retiro en Tienda,Transporte propio,143.0,SAC devolución de dinero,Metropolitana,2026-01-25,2026-01-29
001010417,1676213,ECOMMERCE,Listo Para Retiro,Retiro en Tienda,Transporte propio,132.0,"En tienda, esperando retiro cliente",Metropolitana,2026-02-06,2026-02-13
001011143,1677251,ECOMMERCE,Rechazado,Retiro en Tienda,Transporte propio,132.0,SAC devolución de dinero,Libertador General Bernardo OHiggins,2026-02-07,2026-02-13
001012565,1679051,ECOMMERCE,Preparado,Despacho a Domicilio,BigTicket,130.0,"Courier tiene pedido, estado no actualizado en OMS",Metropolitana,2026-02-10,2026-02-19
001015721,1683335,ECOMMERCE,Preparado,Despacho a Domicilio,BigTicket,128.0,"Courier tiene pedido, estado no actualizado en OMS",Metropolitana,2026-02-17,2026-02-23
001013879,1680836,ECOMMERCE,Preparado,Despacho a Domicilio,BigTicket,127.0,"Courier tiene pedido, estado no actualizado en OMS",Metropolitana,2026-02-13,2026-02-24
