fecha,total_abiertos,atrasados,pct_atrasados,pct_otif,dias_atraso_prom,sin_wms,reserva_sin_ov,venta_futura,sla_ecommerce,sla_operacion,sla_courier
2026-08-11,2400,696,29.0,71.0,20.2,0,,,,,
2026-08-12,62238,673,1.1,98.9,21.3,9,9.0,9.0,84.7,75.0,87.9
2026-08-13,62435,684,1.1,98.9,21.3,19,8.0,19.0,84.6,74.8,88.0
2026-08-14,62542,746,1.2,98.8,20.5,12,8.0,12.0,84.6,74.8,88.0
2026-08-16,63099,764,1.2,98.8,20.1,29,11.0,29.0,84.4,74.7,88.0
2026-08-17,63207,746,1.2,98.8,20.3,24,12.0,24.0,84.3,74.7,88.0
2026-08-18,63391,736,1.2,98.8,20.3,29,12.0,29.0,84.3,74.7,88.0
2026-08-19,63569,737,1.2,98.8,21.0,34,10.0,34.0,84.3,74.7,88.0
2026-08-20,63730,775,1.2,98.8,19.8,121,10.0,121.0,84.3,74.9,88.0
2026-08-21,63910,788,1.2,98.8,19.8,32,15.0,32.0,84.2,74.9,88.0
2026-08-24,64434,815,1.3,98.7,20.0,369,15.0,369.0,84.2,74.9,88.0
