Pagina,Etapa,Sesiones,Rage%,Dead%,Quickback%,Scroll%,Score Friccion
/bano/toallas,Categoria,174,0,100.0,100.0,40.72,409.3
/,Home,2532,0,100.0,100.0,81.0,400.0
/dormitorio,Categoria,6,0,100.0,100.0,85.5,400.0
/evento/liquidacion,Categoria,11,0,100.0,100.0,80.0,400.0
/12-ropa-de-cama/plumones,Categoria,61,0,100.0,100.0,69.2,400.0
/12-ropa-de-cama,Categoria,12,0,100.0,100.0,79.0,400.0
/evento/liquidacion/ropa-de-cama/plumones,Categoria,54,0,100.0,100.0,100.0,400.0
/descuento-now,Categoria,44,0,100.0,100.0,73.0,400.0
/sabanas-2-plazas-180-hilos-liso-marino.html,Producto,19,0,100.0,100.0,66.0,400.0
/decoracion/alfombras/alfombras-grandes,Categoria,118,0,100.0,44.92,43.82,296.0
