Fecha,Anio,Sesiones,Add to Cart,Checkouts,Pedidos OMS,Revenue GA4,Tasa ATC,Tasa Checkout,Tasa Conversion
2025-08-01,2025,17731,2371,1809,264,20021918,13.37,10.2,1.49
2025-08-02,2025,19523,2851,2034,277,19315066,14.6,10.42,1.42
2025-08-03,2025,24621,3937,2569,342,30427768,15.99,10.43,1.39
2025-08-04,2025,20877,3017,2352,318,25488683,14.45,11.27,1.52
2025-08-05,2025,18238,2858,2057,251,23242650,15.67,11.28,1.38
2025-08-06,2025,12120,1164,962,99,7022233,9.6,7.94,0.82
2025-08-07,2025,13507,1097,659,86,6499548,8.12,4.88,0.64
2025-08-08,2025,11811,959,641,82,3941870,8.12,5.43,0.69
2025-08-09,2025,12379,1280,919,118,10457548,10.34,7.42,0.95
2025-08-10,2025,13686,1393,958,133,11908551,10.18,7.0,0.97
2025-08-11,2025,13840,1420,931,125,8151045,10.26,6.73,0.9
2025-08-12,2025,13022,1314,809,99,5795366,10.09,6.21,0.76
2025-08-13,2025,11869,1298,823,122,7175142,10.94,6.93,1.03
2025-08-14,2025,10886,1176,732,99,7165547,10.8,6.72,0.91
2025-08-15,2025,11923,1645,889,132,12420136,13.8,7.46,1.11
2025-08-16,2025,11841,1472,851,112,7400457,12.43,7.19,0.95
2025-08-17,2025,13179,1978,1186,186,17017067,15.01,9.0,1.41
2025-08-18,2025,17266,4159,2452,351,22084264,24.09,14.2,2.03
2025-08-19,2025,12956,2513,1444,210,12667365,19.4,11.15,1.62
2025-08-20,2025,12355,2297,1263,190,12762897,18.59,10.22,1.54
2025-08-21,2025,11469,2150,1219,212,13048089,18.75,10.63,1.85
2025-08-22,2025,11822,1923,1184,158,11982324,16.27,10.02,1.34
2025-08-23,2025,11838,1607,935,145,8410536,13.57,7.9,1.22
2025-08-24,2025,12639,2025,1201,186,11930340,16.02,9.5,1.47
2025-08-25,2025,12260,1614,993,171,12987725,13.16,8.1,1.39
2025-08-26,2025,11455,1357,753,118,7329499,11.85,6.57,1.03
2026-08-01,2026,29292,4667,1567,348,21720410,15.93,5.35,1.19
2026-08-02,2026,33354,5585,1858,443,25723348,16.74,5.57,1.33
2026-08-03,2026,30956,4764,1673,376,24252148,15.39,5.4,1.21
2026-08-04,2026,24731,3609,1337,303,16767061,14.59,5.41,1.23
2026-08-05,2026,11166,2081,764,158,10915277,18.64,6.84,1.42
2026-08-06,2026,11346,1785,608,119,6437565,15.73,5.36,1.05
2026-08-07,2026,12785,2141,719,130,7690322,16.75,5.62,1.02
2026-08-08,2026,12706,1984,657,173,10512405,15.61,5.17,1.36
2026-08-09,2026,13543,2453,842,206,13247252,18.11,6.22,1.52
2026-08-10,2026,13735,2033,698,172,10940171,14.8,5.08,1.25
2026-08-11,2026,13938,1925,671,145,10947170,13.81,4.81,1.04
2026-08-12,2026,13937,1827,638,103,5278493,13.11,4.58,0.74
2026-08-13,2026,12459,1890,736,138,10577589,15.17,5.91,1.11
2026-08-14,2026,13462,1799,649,112,9010735,13.36,4.82,0.83
2026-08-15,2026,14901,2261,654,133,9042436,15.17,4.39,0.89
2026-08-16,2026,15905,2710,870,182,12609007,17.04,5.47,1.14
2026-08-17,2026,16295,2651,890,171,13092165,16.27,5.46,1.05
2026-08-18,2026,13797,2111,700,155,12498836,15.3,5.07,1.12
2026-08-19,2026,13041,2057,750,141,11236672,15.77,5.75,1.08
2026-08-20,2026,11777,1753,595,98,2700091,14.88,5.05,0.83
2026-08-21,2026,11827,1601,571,98,4311660,13.54,4.83,0.83
2026-08-22,2026,11467,1721,601,113,3612135,15.01,5.24,0.99
2026-08-23,2026,16435,2197,815,163,6190211,13.37,4.96,0.99
2026-08-24,2026,15977,2269,821,165,5470595,14.2,5.14,1.03
2026-08-25,2026,11749,1853,635,105,3877230,15.77,5.4,0.89
2026-08-26,2026,14037,1988,713,121,3132370,14.16,5.08,0.86
