Fecha,Sesiones,Add to Cart,Checkouts,Compras GA4,Revenue GA4,Tasa Conversion
2026-08-04,3,0,0,0,0,0.0
2026-08-07,1,1,1,0,0,0.0
2026-08-12,565,54,10,0,0,0.0
2026-08-13,140,41,3,2,210860,1.43
2026-08-14,336,29,9,0,0,0.0
2026-08-15,119,20,0,0,0,0.0
2026-08-16,58,20,1,0,0,0.0
2026-08-17,62,19,8,1,22170,1.61
2026-08-18,31,3,1,0,0,0.0
2026-08-19,34,16,1,0,0,0.0
2026-08-20,20,0,0,0,0,0.0
2026-08-21,23,2,1,0,0,0.0
2026-08-22,10,1,1,0,0,0.0
2026-08-23,10,18,0,0,0,0.0
2026-08-24,37,15,7,0,0,0.0
2026-08-25,21,3,4,0,0,0.0
2026-08-26,29,13,10,0,0,0.0
2026-08-27,31,8,7,0,0,0.0
2026-08-28,67,16,2,1,19980,1.49
2026-08-29,39,10,5,0,0,0.0
2026-08-30,60,10,2,0,0,0.0
