Fecha,Pedidos Total,Entregados,Anulados,En Proceso,Despacho Domicilio,Retiro Tienda
2026-08-01,348,341,4,3,285,53
2026-08-02,443,434,0,9,392,35
2026-08-03,376,369,2,5,320,38
2026-08-04,303,290,2,11,240,51
2026-08-05,158,157,0,1,127,30
2026-08-06,119,110,0,9,89,29
2026-08-07,130,121,1,8,90,35
2026-08-08,173,163,1,9,121,52
2026-08-09,206,194,1,11,147,48
2026-08-10,172,163,2,7,142,25
2026-08-11,145,139,3,3,125,18
2026-08-12,103,95,0,8,85,17
2026-08-13,138,130,0,8,116,19
2026-08-14,112,96,1,15,86,23
2026-08-15,133,121,0,12,106,23
2026-08-16,182,172,0,10,158,21
2026-08-17,171,154,1,16,145,25
2026-08-18,155,138,0,17,134,20
2026-08-19,141,124,1,16,116,21
2026-08-20,98,65,2,31,72,23
2026-08-21,98,54,2,42,75,20
2026-08-22,113,66,1,46,90,20
2026-08-23,163,109,0,54,136,25
2026-08-24,165,55,0,110,136,27
2026-08-25,105,14,1,90,89,15
2026-08-26,121,5,0,116,98,19
2026-08-27,88,0,1,87,72,14
