Fecha,Sesiones GA4,Add to Cart,Checkouts,Pedidos OMS,Revenue GA4,Tasa Conversion,Entregados,Anulados,En Proceso,Despacho Domicilio,Retiro Tienda
2026-08-01,29292,4667,1567,348,21720410,1.19,341,4,3,285,53
2026-08-02,33354,5585,1858,443,25723348,1.33,434,0,9,392,35
2026-08-03,30956,4764,1673,376,24252148,1.21,369,2,5,320,38
2026-08-04,24731,3609,1337,303,16767061,1.23,290,2,11,240,51
2026-08-05,11166,2081,764,158,10915277,1.42,157,0,1,127,30
2026-08-06,11346,1785,608,119,6437565,1.05,110,0,9,89,29
2026-08-07,12785,2141,719,130,7690322,1.02,121,1,8,90,35
2026-08-08,12706,1984,657,173,10512405,1.36,163,1,9,121,52
2026-08-09,13543,2453,842,206,13247252,1.52,194,1,11,147,48
2026-08-10,13735,2033,698,172,10940171,1.25,163,2,7,142,25
2026-08-11,13938,1925,671,145,10947170,1.04,139,3,3,125,18
2026-08-12,13937,1827,638,103,5278493,0.74,95,0,8,85,17
2026-08-13,12459,1890,736,138,10577589,1.11,130,0,8,116,19
2026-08-14,13462,1799,649,112,9010735,0.83,95,1,16,86,23
2026-08-15,14901,2261,654,133,9042436,0.89,121,0,12,106,23
2026-08-16,15905,2710,870,182,12609007,1.14,172,0,10,158,21
2026-08-17,16295,2651,890,171,13092165,1.05,153,1,17,145,25
2026-08-18,13797,2111,700,155,12498836,1.12,138,0,17,134,20
2026-08-19,13041,2057,750,141,11236672,1.08,124,1,16,116,21
2026-08-20,11777,1753,595,98,2700091,0.83,64,2,32,72,23
2026-08-21,11827,1601,571,98,4311660,0.83,54,2,42,75,20
2026-08-22,11467,1721,601,113,3612135,0.99,66,1,46,90,20
2026-08-23,16435,2197,815,163,6190211,0.99,106,0,57,136,25
2026-08-24,15977,2269,821,165,5470595,1.03,54,0,111,136,27
2026-08-25,11749,1853,635,105,3877230,0.89,11,1,93,89,15
2026-08-26,14037,1988,713,121,3132370,0.86,3,0,118,97,20
2026-08-27,12829,1699,568,88,3424046,0.69,0,1,87,72,14
